"Designator","Comment","Footprint","Ref X","Ref Y","Rotation","Layer"
R10,"R05","R0805",14.61,87.12,90,top
S10,"STL1550WH8","(unknown)",18.50,91.19,90,top
FID1,"FIDUCIAL1X2","FIDUCIAL-1X2",3.81,90.30,0,top
M2,"Mounthole","(unknown)",4.45,4.57,0,top
M1,"Mounthole","(unknown)",4.45,94.74,0,top
FID3,"FIDUCIAL1X2","FIDUCIAL-1X2",2.54,9.02,0,top
R19,"30k","R0603",23.37,67.31,90,top
IC1,"SAMD21J18A-AUT","LQFP64_10",27.94,56.64,180,top
R21,"330R","R0603",25.40,47.77,90,top
C2,"100nF","C0603",19.68,52.20,180,top
C3,"100nF","C0603",36.83,56.64,180,top
C5,"1uF","C0603",27.30,47.75,90,top
C6,"100nF","C0603",19.68,60.45,180,top
C7,"100nF","C0603",29.34,65.53,90,top
S5,"1.27mm header 5x2","(unknown)",25.40,43.94,270,top
U4,"1117-3.3","SOT-223",15.80,36.95,0,top
C11,"22uF","C1210",24.38,37.72,270,top
C13,"22uF","C1210",9.78,37.08,90,top
S2,"STL1550WH2","(unknown)",8.00,77.94,90,top
M3,"Mounthole","(unknown)",73.66,4.57,0,top
M4,"Mounthole","(unknown)",73.66,94.74,0,top
FID2,"FIDUCIAL1X2","FIDUCIAL-1X2",74.30,90.30,0,top
FID4,"FIDUCIAL1X2","FIDUCIAL-1X2",76.20,15.37,0,top
C4,"100nF","C0603",29.21,47.75,270,top
R20,"47k","R0603",23.37,64.64,90,top
S1,"USB B Connector","2",11.31,53.57,270,top
S11,"STL1550WH8","(unknown)",38.50,91.19,90,top
S12,"STL1550WH8","(unknown)",58.50,91.19,90,top
S13,"STL1550WH8","(unknown)",18.50,8.19,270,top
S14,"STL1550WH8","(unknown)",38.50,8.19,270,top
S15,"STL1550WH8","(unknown)",58.50,8.19,270,top
IC6,"ULN2003","SO16",52.78,54.10,180,top
R23,"1k5","R0603",18.41,87.12,90,top
R22,"6k8","R0603",16.51,87.12,90,top
R24,"1k5","R0603",38.73,87.12,90,top
R25,"6k8","R0603",36.83,87.12,90,top
R26,"1k5","R0603",58.42,87.12,90,top
R27,"6k8","R0603",56.52,87.12,90,top
R28,"1k5","R0603",58.42,12.19,270,top
R29,"6k8","R0603",60.33,12.19,270,top
R30,"1k5","R0603",38.73,12.19,270,top
R31,"6k8","R0603",40.64,12.19,270,top
R32,"1k5","R0603",18.41,12.19,270,top
R33,"6k8","R0603",20.32,12.19,270,top
R38,"4k7","R0603",42.55,82.68,90,top
R40,"4k7","R0603",46.35,82.68,90,top
IC3,"74HCT04","SO14",42.55,62.92,90,top
IC2,"ULN2003","SO16",42.55,71.17,90,top
T1,"BSS84P","SOT-23",21.59,87.43,270,top
R35,"4k7","R0603",22.23,82.68,90,top
R34,"4k7","R0603",21.59,84.58,180,top
T2,"BSS84P","SOT-23",25.40,87.43,270,top
R36,"4k7","R0603",26.04,82.68,90,top
R37,"4k7","R0603",25.40,84.58,180,top
T5,"BSS84P","SOT-23",61.59,87.43,270,top
R42,"4k7","R0603",62.23,82.68,90,top
R43,"4k7","R0603",61.59,84.58,180,top
T6,"BSS84P","SOT-23",65.41,87.43,270,top
R44,"4k7","R0603",66.04,82.68,90,top
R45,"4k7","R0603",65.41,84.58,180,top
T3,"BSS84P","SOT-23",41.91,87.43,270,top
R39,"4k7","R0603",41.91,84.58,180,top
T4,"BSS84P","SOT-23",45.72,87.43,270,top
R41,"4k7","R0603",45.72,84.58,180,top
T11,"BSS84P","SOT-23",15.24,11.89,90,top
R54,"4k7","R0603",14.61,16.64,270,top
R55,"4k7","R0603",15.24,14.73,0,top
T12,"BSS84P","SOT-23",11.43,11.89,90,top
R56,"4k7","R0603",10.79,16.64,270,top
R57,"4k7","R0603",11.43,14.73,0,top
T9,"BSS84P","SOT-23",35.56,11.89,90,top
R50,"4k7","R0603",34.92,16.64,270,top
R51,"4k7","R0603",35.56,14.73,0,top
T10,"BSS84P","SOT-23",31.75,11.89,90,top
R52,"4k7","R0603",31.11,16.64,270,top
R53,"4k7","R0603",31.75,14.73,0,top
T7,"BSS84P","SOT-23",55.24,11.89,90,top
R46,"4k7","R0603",54.61,16.64,270,top
R47,"4k7","R0603",55.24,14.73,0,top
T8,"BSS84P","SOT-23",51.44,11.89,90,top
R48,"4k7","R0603",50.80,16.64,270,top
R49,"4k7","R0603",51.44,14.73,0,top
R11,"R05","R0805",34.92,87.12,90,top
R12,"R05","R0805",54.61,87.12,90,top
R13,"R05","R0805",22.23,12.19,270,top
R14,"R05","R0805",42.55,12.19,270,top
R15,"R05","R0805",62.23,12.19,270,top
IC8,"INA226AIDGS","MSOP10",14.60,79.68,90,top
IC9,"INA226AIDGS","MSOP10",34.92,79.68,90,top
IC10,"INA226AIDGS","MSOP10",54.60,79.68,90,top
IC13,"INA226AIDGS","MSOP10",22.23,19.64,270,top
IC12,"INA226AIDGS","MSOP10",42.55,19.64,270,top
IC11,"INA226AIDGS","MSOP10",62.24,19.64,270,top
IC4,"74HCT04","SO14",42.55,42.75,270,top
IC5,"ULN2003","SO16",42.55,34.49,270,top
R58,"1k","R0603",16.51,69.34,90,top
R59,"1k","R0603",13.97,69.34,90,top
